Benchmark,time,Nexps,objective,operating time ratio of the reactors,scheduling mode,Nreactors,operating time ratio of the analyzers,condition,random_seed,Ncombos
A1,595.1201321,69,0.423431845,0.411466485,SRIA-PI,12,0.487296572,"[[110.0, 19.236837337991382, 4.175, 'e']]",4945,4
A1,608.1129173,59,0.421761671,0.326003409,SRIA-PI,12,0.369997074,"[[109.24435615539551, 23.311036197632664, 4.175, 'e']]",9623,4
A1,572.7703844,61,0.422535178,0.482279619,SRIA-PI,12,0.462663586,"[[110.0, 17.801385285048507, 4.175, 'e']]",5966,4
A1,607.9077791,69,0.423447953,0.451068492,SRIA-PI,12,0.386571793,"[[110.0, 20.560842776278275, 4.175, 'e']]",3130,4
A1,592.4933166,68,0.421350337,0.440905724,SRIA-PI,12,0.438823515,"[[110.0, 23.646800246542142, 4.175, 'e']]",6574,4
A1,771.3155173,75,0.423523695,0.37426116,SRIA-PI,12,0.447287773,"[[110.0, 20.008668171952355, 4.175, 'e']]",9297,4
A1,541.5089298,56,0.421863808,0.413793,SRIA-PI,12,0.433972529,"[[110.0, 23.13055791078663, 4.175, 'e']]",6622,4
A1,599.890551,61,0.423419318,0.374996978,SRIA-PI,12,0.466751809,"[[110.0, 20.67323202000613, 4.175, 'e']]",5710,4
A1,641.3521825,64,0.423517946,0.417693669,SRIA-PI,12,0.397597462,"[[110.0, 19.723142623111816, 4.175, 'e']]",9452,4
A1,388.1555394,37,0.422019208,0.345424449,SRIA-PI,12,0.463731627,"[[110.0, 22.962176711433393, 4.175, 'e']]",8451,4
A1,522.1990156,60,0.423258013,0.356944409,SRIA-PI,12,0.53619404,"[[110.0, 21.134343052214437, 4.175, 'e']]",4203,4
A1,611.963916,57,0.42344038,0.342462155,SRIA-PI,12,0.424861651,"[[110.0, 19.268112932286726, 4.175, 'e']]",7692,4
A1,526.7214931,55,0.422406688,0.395875597,SRIA-PI,12,0.465141452,"[[110.0, 22.508164078978417, 4.175, 'e']]",9181,4
A1,449.4864289,49,0.423111331,0.48181464,SRIA-PI,12,0.48944748,"[[110.0, 21.44593238065471, 4.175, 'e']]",2103,4
